Date,Close,High,Low,Open,Volume,AI_Regime_Score,AI_Stock_Sentiment
2022-01-03,178.27035522460938,179.1224900713505,174.058716444052,174.17624610072934,104487900,0.0,0.0
2022-01-04,176.00778198242188,179.18121654083714,175.43969718796814,178.87758836256972,99310400,0.0,0.0
2022-01-05,171.32598876953125,176.46811917460536,171.0517430102158,175.91962765597447,94537600,0.0,0.0
2022-01-06,168.4659881591797,171.69818743268368,168.1133843303379,169.15160256379613,96904000,0.0,0.0
2022-01-07,168.6324920654297,170.5620164817169,167.5159157741246,169.3376997173353,86709100,0.0,0.0
2022-01-10,168.652099609375,168.95572780142643,164.7146923768041,165.60599864366586,106765600,0.0,0.0
2022-01-11,171.48272705078125,171.58066343731596,167.3102603634751,168.77944066896987,76138300,0.0,0.0
2022-01-12,171.9234619140625,173.53955411934612,171.22805833783443,172.50133585944042,74805200,0.0,0.0
2022-01-13,168.652099609375,172.9910714162829,168.26030924441002,172.16833406776786,84505800,0.0,0.0
2022-01-14,169.51400756835938,170.20941111487983,167.57467907053888,167.81954242119846,80440800,0.0,0.0
2022-01-18,166.31118774414062,168.99488045377709,165.92920152184269,167.98604466295757,90956700,0.0,0.0
2022-01-19,162.81454467773438,167.56489994287205,162.53050974989438,166.50708841129685,94815000,0.0,0.0
2022-01-20,161.12986755371094,166.19363965286126,160.8066461501134,163.54911855874855,91420500,0.0,0.0
2022-01-21,159.07302856445312,162.9124840575923,158.96528809380473,161.0417244969125,122848900,0.0,0.0
2022-01-24,158.29925537109375,158.9652914615593,151.5214395660685,156.73213888196668,162294600,0.0,-0.6896560041134353
2022-01-25,156.4970703125,159.41583739515477,153.79378418345803,155.71350456711474,115798400,0.0,-0.6980494683665281
2022-01-26,156.40895080566406,161.01237982580022,154.57737732066565,160.14066670272183,108275300,0.0,-0.6931110296812016
2022-01-27,155.94859313964844,160.4736636918006,155.02790442490624,159.112223875077,121954600,0.0,-0.6332638705803325
2022-01-28,166.83026123046875,166.84985447866055,159.4549800121827,162.30519234067697,179935700,0.0,-0.5916667267704782
2022-01-31,171.18882751464844,171.404308412274,166.02710501378616,166.6637585550507,115541600,0.0,-0.056547098963527415
2022-02-01,171.02235412597656,171.2476242171807,168.769608378118,170.43467612383174,86213900,0.234407218240398,0.0700554596416383
2022-02-02,172.22708129882812,172.26626780396012,169.7686586589768,171.15948068570833,84914300,0.2449243436451718,-0.013723578892497841
2022-02-03,169.34751892089844,172.61890525422228,168.5835463199836,170.89505737911136,89418100,0.32225448604734375,0.008849266282062871
2022-02-04,169.06304931640625,170.74005465558764,167.3860439772249,168.36674500347337,82465400,0.37464239350423845,0.020502764217986424
2022-02-07,168.34719848632812,170.59299800892276,167.65089393875687,169.52403712153145,77251200,0.37092131021763486,-0.013525684796716604
2022-02-08,171.4560089111328,171.9659777736799,168.12161553517308,168.41582891603926,74829200,0.3101912526472358,0.0659887381172102
2022-02-09,172.87803649902344,173.2408912177467,171.524663818335,172.65247937368048,71285000,0.3478059301021891,0.28364214612158034
2022-02-10,168.7982940673828,172.09345086021537,168.23930213729955,170.77931477893978,90865900,0.24550600692905478,0.388968036972596
2022-02-11,165.38546752929688,169.73978371917386,164.79704076038374,169.00425774018962,98670700,0.23725304942931613,0.3017800789304846
2022-02-14,165.620849609375,166.3073375649639,163.34561528306318,164.1399809862671,86185500,0.24284018471529112,0.2032449020498588
2022-02-15,169.4553680419922,169.61228383864895,166.96439336840055,167.670499489042,62527400,0.21161375934073423,0.2739990175304823
2022-02-16,169.2200164794922,169.99476394129306,166.7682631690513,168.53352854543166,61177400,0.30472785834506166,0.3521777096771535
2022-02-17,165.620849609375,168.59237351767158,165.21875846241755,167.7293515367512,69589300,0.2332562345922603,0.36044083920906217
2022-02-18,164.0713348388672,167.24879755806597,162.98275576839345,166.54270637048876,82772700,0.24918997053993086,-0.040944989275574384
2022-02-22,161.1488494873047,163.4731068473456,159.02071443579257,161.79610099125685,91162800,0.1889170733575697,-0.266289275287525
2022-02-23,156.98086547851562,162.94351625967545,156.6670338772365,162.34528786351217,90009200,0.08921153401269766,-0.33487174816228615
2022-02-24,159.5993194580078,159.70719718910948,149.06658313119078,149.6353916256984,141147500,0.0457687157326645,-0.4698705661718924
2022-02-25,161.6686248779297,161.9334034703252,157.76542269815738,160.6781069290293,91974200,0.02730688619022037,-0.3028652969118889
2022-02-28,161.93338012695312,162.2275934848512,159.29529145951147,159.91313801466617,95056600,0.9961081470163741,-0.2176660373858388
2022-03-01,160.05047607421875,163.38487003337303,158.8442174624351,161.52152827152648,83474400,1.0,-0.1913411762992149
