Date,Open,High,Low,Close,Volume,VIX,AI_Regime_Score,AI_Stock_Sentiment
2023-01-03,3.5799999237060547,3.7699999809265137,3.2799999713897705,3.4000000953674316,13014400,22.899999618530273,1.0,-0.187000100512694
2023-01-04,3.5,4.329999923706055,3.4800000190734863,4.21999979019165,32367400,22.010000228881836,1.0,0.35195593278327786
2023-01-05,4.110000133514404,4.300000190734863,3.890000104904175,3.9100000858306885,24923800,22.459999084472656,1.0,-0.48101004326559405
2023-01-06,3.940000057220459,4.21999979019165,3.7100000381469727,4.090000152587891,19314200,21.1299991607666,1.0,0.5230714686465341
2023-01-09,4.260000228881836,5.300000190734863,4.199999809265137,4.900000095367432,44884600,21.969999313354492,1.0,0.4852018140894716
2023-01-10,4.909999847412109,5.820000171661377,4.760000228881836,5.75,42394300,20.579999923706055,1.0,0.5703918818342578
2023-01-11,5.699999809265137,6.150000095367432,5.199999809265137,5.369999885559082,43071900,21.09000015258789,1.0,-0.6597698511814192
2023-01-12,5.960000038146973,7.090000152587891,5.389999866485596,7.03000020980835,67400000,18.829999923706055,1.0,0.6671043860183092
2023-01-13,6.650000095367432,8.119999885559082,6.559999942779541,7.679999828338623,78829700,18.350000381469727,1.0,0.6040859957526468
2023-01-17,8.399999618530273,8.859999656677246,7.900000095367432,8.369999885559082,59317600,19.360000610351562,1.0,0.5340982737501045
2023-01-18,8.510000228881836,8.529999732971191,6.820000171661377,6.909999847412109,58413500,20.34000015258789,1.0,-0.5715273486331434
2023-01-19,6.71999979019165,7.449999809265137,6.519999980926514,7.340000152587891,35227300,20.520000457763672,1.0,0.30758339297019643
2023-01-20,7.519999980926514,8.09000015258789,7.03000020980835,8.069999694824219,48773100,19.850000381469727,1.0,0.4737283757770019
2023-01-23,8.050000190734863,9.119999885559082,7.809999942779541,9.0,47089200,19.809999465942383,1.0,0.4523974340616266
2023-01-24,8.739999771118164,9.569999694824219,8.579999923706055,8.800000190734863,39398800,19.200000762939453,1.0,-0.6026752223153519
2023-01-25,8.3100004196167,8.9399995803833,7.900000095367432,8.75,34985400,19.079999923706055,1.0,-0.09781881454270722
2023-01-26,9.170000076293945,9.359999656677246,8.5,8.75,30466600,18.729999542236328,1.0,-0.10700317620290761
2023-01-27,8.550000190734863,8.859999656677246,7.980000019073486,8.020000457763672,48107300,18.510000228881836,1.0,-0.4217039018454649
2023-01-30,7.789999961853027,8.170000076293945,7.090000152587891,7.170000076293945,36748000,19.940000534057617,-1.0,-0.4355470730625416
2023-01-31,7.409999847412109,7.5,7.099999904632568,7.210000038146973,24173200,19.399999618530273,-1.0,-0.239370776528256
2023-02-01,7.170000076293945,7.869999885559082,6.829999923706055,7.519999980926514,43280700,17.8700008392334,-1.0,0.49505936536487716
2023-02-02,8.0,8.5600004196167,7.739999771118164,8.0,60716900,18.729999542236328,-1.0,0.5684719224882336
2023-02-03,7.510000228881836,7.920000076293945,6.980000019073486,7.070000171661377,34183100,18.329999923706055,-1.0,-0.4567597023125629
2023-02-06,6.920000076293945,7.269999980926514,6.650000095367432,7.079999923706055,23094600,19.43000030517578,0.0,0.017865804715222543
2023-02-07,7.079999923706055,7.239999771118164,6.510000228881836,7.099999904632568,32060600,18.65999984741211,0.0,-0.044768082877197045
2023-02-08,6.909999847412109,7.400000095367432,6.71999979019165,6.809999942779541,23079400,19.6299991607666,0.0,-0.5825794577161784
2023-02-09,6.889999866485596,6.900000095367432,5.829999923706055,5.949999809265137,27776800,20.709999084472656,0.0,-0.3496224118947555
2023-02-10,5.840000152587891,5.940000057220459,5.510000228881836,5.920000076293945,20107400,20.530000686645508,0.0,-0.06029191148219322
2023-02-13,5.760000228881836,6.03000020980835,5.579999923706055,5.849999904632568,14942300,20.34000015258789,1.0,-0.5235254616376412
2023-02-14,5.820000171661377,6.829999923706055,5.690000057220459,6.71999979019165,36350700,18.90999984741211,1.0,0.38654700002864073
2023-02-15,7.019999980926514,8.020000457763672,6.860000133514404,7.949999809265137,50585400,18.229999542236328,1.0,0.4970921461988733
