ticker,opt_return,opt_sharpe,opt_dd,opt_trades,bnh_return
NVDA,-20.457751317875708,-1.1148924924274488,-29.579948794541654,10,229.4475250740866
AAPL,-8.021359669340367,-0.7205470943652288,-13.2554036320923,10,49.479754107895594
SPY,-8.086464283273118,-1.037794663892323,-12.03706092246808,9,24.90787623100185
