Test_Case,Strategy,Return_Pct,Sharpe_Ratio,Max_Drawdown_Pct,Trades
NVDA 2023,Original,-9.51566875982475,-0.40353031100241904,-26.933130657076997,25
NVDA 2023,Optimized,-20.457751317875708,-1.1148924924274488,-29.579948794541654,10
NVDA 2023,Buy&Hold,229.4475250740866,1.413150667563041,-18.008105256370253,0
SPY 2022,Original,-8.549024870900539,-0.6652725361556723,-13.590539271240043,28
SPY 2022,Optimized,-0.6463290683570231,-0.06882575225714915,-9.946069810888158,12
SPY 2022,Buy&Hold,-17.679803316274338,-0.9318655652996801,-23.231082307973562,0
