Buy & Hold,Heuristic,News (LLM)
305667.3652349604,85684.8721040507,80447.70075113863
311235.0543676508,84606.15887773233,79435.23920328707
311097.4999891413,84632.80938279825,79460.25290567965
309643.3394132746,84914.5460618754,79724.68607218355
294983.93349515327,87754.7360719462,82390.4392154941
296595.2526365412,89296.0418881022,83837.29222174437
297676.08347760566,89189.05542188631,83736.86879085097
302503.6145292414,89497.98385644975,84027.0268901498
297571.3111005915,88670.61717954685,83250.00934135007
283750.28424130805,86553.2676777412,81263.12100784885
282662.97701703437,86354.05242581859,81076.18046753513
272621.4323698176,84514.2514919807,79349.73945801365
291603.9866148127,87992.2145199348,82613.40667908298
292828.89822827704,88216.64149899974,82824.00551788913
289855.08808957465,87671.78322644725,82312.71886246311
288924.9644361628,87501.36697812572,82152.8028659116
288630.2014814509,87447.36082883373,82102.12432282077
312656.45794736274,90207.02000045155,84691.74620992593
304147.7156721247,90207.02000045155,84691.74620992593
313632.4413953913,90207.02000045155,84691.74620992593
313940.30714856513,90207.02000045155,84691.74620992593
306440.28031216987,90207.02000045155,84691.74620992593
311791.84828626044,90207.02000045155,84691.74620992593
324558.24990140327,90207.02000045155,84691.74620992593
327702.3464094294,90207.02000045155,84691.74620992593
328298.44872342475,90207.02000045155,84691.74620992593
322756.915176977,90207.02000045155,84691.74620992593
323012.36973630317,90207.02000045155,84691.74620992593
313297.5698743952,90207.02000045155,84691.74620992593
307925.9726225031,90207.02000045155,84691.74620992593
303543.4616171015,90207.02000045155,84691.74620992593
300962.4853788508,90207.02000045155,84691.74620992593
298944.82945310004,90312.4517091118,84790.7246957236
302973.56490003,91055.50909360277,85488.30131391819
303602.4492155207,91171.5001138054,85597.19280103977
292590.547321905,89140.47198422777,83690.47904829319
293022.9646764887,89220.22676404344,83765.35222868259
290101.29067288764,88681.35508283006,83259.46359495456
281709.7484289301,87133.62440808641,81806.46581510837
273704.6887289179,85657.1763261162,80420.38759092624
277589.31839810737,86373.65493329393,81093.01225523288
281598.3996473444,87113.0873101555,81787.18574384983
