Strategy,Return_%,Sharpe_Ratio,Max_Drawdown_%,Num_Trades,Win_Rate_%,Avg_Trade_%,Best_Trade_%,Worst_Trade_%
Adaptive,-23.769733267714553,-1.0275769229716758,-37.716765319521336,23,56.52173913043478,-2.3149968694140766,10.989665216535926,-22.830061160583746
Hybrid_70,-21.05854873518566,-0.8984163020465991,-36.75848557969926,28,50.0,-1.8294759118132164,10.989665216535926,-22.830061160583746
Hybrid_85,-26.87555562530125,-1.1929754542819597,-41.41002443479939,27,55.55555555555556,-2.381363754896082,10.989665216535926,-22.830061160583746
Hybrid_VetoOnly,-23.769733267714553,-1.0275769229716758,-37.716765319521336,23,56.52173913043478,-2.3149968694140766,10.989665216535926,-22.830061160583746
