Date,Close,High,Low,Open,Volume,VIX,AI_Regime_Score,AI_Stock_Sentiment,News_Sentiment,News_Confidence
2023-01-03,14.300683975219727,14.981003655234762,14.081903121676092,14.836148204062967,401277000,,0.0,,0.0,0.0
2023-01-04,14.73425006866455,14.838146156406989,14.226758666083303,14.552432867835895,431324000,,0.0,0.0,0.0,0.0
2023-01-05,14.250733375549316,14.549434120901816,14.133849812431897,14.476507176700567,389168000,,0.0,0.0,0.0,0.0
2023-01-06,14.844141006469727,14.994990027309514,14.019966208080364,14.459525782981146,405044000,,0.0,0.0,0.0,0.0
2023-01-09,15.612370491027832,16.03994193956856,15.125857081198152,15.268714667138873,504231000,,0.0,0.0,-0.6,0.9
2023-01-10,15.89309024810791,15.9460367412462,15.456527005264633,15.491491850303234,384101000,,0.0,0.0,-0.6,0.9
2023-01-11,15.984997749328613,16.011971174963055,15.547436042925577,15.824159457593446,353285000,,0.0,0.2227035120344607,-0.6,0.9
2023-01-12,16.494487762451172,16.620361206682915,15.476506765719616,16.083899486490765,551409000,,0.0,0.16977418936631716,-0.6,0.9
2023-01-13,16.882102966308594,16.905080685202577,16.148837635119033,16.261723610585914,447287000,,0.0,0.3148966902645971,-0.6,0.9
2023-01-17,17.684295654296875,17.710270626929983,16.88209924852682,16.88209924852682,511102000,,0.0,0.2745813259185068,0.6,0.8
2023-01-18,17.359621047973633,17.855123353381586,17.264714843579952,17.64933001108455,439624000,,0.0,0.2654209576258446,0.6,0.8
2023-01-19,16.748233795166016,17.179802892609352,16.71426930548233,17.018962694085385,452932000,,0.0,0.18454948370287072,0.6,0.8
2023-01-20,17.821163177490234,17.838146377063,16.80817715454958,16.993990087651493,564967000,,0.0,0.09549404482956003,0.6,0.8
2023-01-23,19.17380714416504,19.22575518813864,17.80018219062393,18.045934566497856,655163000,,0.0,0.16086288148446393,0.6,0.9
2023-01-24,19.24573516845703,19.47550662588318,18.80118045535214,18.808173425147835,496204000,,0.0,0.27149510726595727,0.6,0.9
2023-01-25,19.303674697875977,19.350628576512324,18.561417754150824,18.894084898187952,449537000,,0.0,0.17659052355650529,0.6,0.9
2023-01-26,19.782197952270508,20.14583427066666,19.258721787064815,19.681299120426033,489535000,,0.0,0.22397420364533493,0.6,0.9
2023-01-27,20.344636917114258,20.60737443261839,19.385597730575345,19.44253994391752,542142000,,0.0,0.3623025799866939,0.6,0.9
2023-01-30,19.14283561706543,20.119856196776876,19.130846582408306,19.930047598821574,488611000,,0.0,0.2831996671026955,0.6,0.9
2023-01-31,19.51746368408203,19.667313303213437,18.931050789927134,19.150830104290442,498017000,,0.0,-0.0032306079712536295,0.6,0.9
2023-02-01,20.92205810546875,21.170807752513607,19.5913893538845,19.67130927886173,660477000,0.572076525881932,-0.8,0.02823779016458161,0.6,0.9
2023-02-02,21.687286376953125,21.927046101235472,20.679296702842173,20.97899588183488,564276000,0.574027466468471,-0.8,0.1676761997829197,0.6,0.9
2023-02-03,21.07889747619629,21.723252844703303,20.768207695861946,20.978997108875344,429366000,0.568422070762635,-0.8,0.19260634528874077,0.6,0.9
2023-02-06,21.06791114807129,21.54842912938245,20.76521275361375,20.78519321039508,452197000,0.567197291427532,-0.8,0.07218222296848742,0.6,0.9
2023-02-07,22.15082550048828,22.236739935433913,21.12884786869814,21.360616200100747,664150000,0.5669229978057304,-0.8,0.20112752044840176,0.6,0.9
2023-02-08,22.18279266357422,22.85511993042836,21.985989180590057,22.364609852385264,559651000,0.5700555499451415,-0.8,0.26984672383983543,0.6,0.9
2023-02-09,22.314661026000977,22.99697853291516,22.097878989240208,22.58339300958644,523876000,0.5700120482791152,-0.8,0.1205172599894393,0.6,0.9
2023-02-10,21.243730545043945,22.055917123650822,20.79018606002947,21.66830661145846,550737000,0.6121070032628643,-0.8,0.057856445305628945,0.6,0.9
2023-02-13,21.766210556030273,22.025950766178745,20.941036401408137,21.516460573823032,474919000,0.6123581243498043,-0.8,0.015639629068246563,0.6,0.9
2023-02-14,22.948028564453125,23.025949676572004,21.34463219361314,21.556420076698707,675474000,0.6178029749255111,-0.8,0.06629033159017395,0.6,0.9
2023-02-15,22.741233825683594,22.832142420903672,22.08389284711268,22.526448693208266,420575000,0.6122095778183704,-0.8,0.07197953538546642,0.6,0.9
